500

ITN.           PE                KE                  TE                    TEMP
[0.]     [295.08181067]   [1544026.25450544]   [1544321.33631611]   [1029350.83633696]
[1.]     [291.82178939]   [1810700.15155357]   [1810991.97334297]   [1207133.43436905]
[2.]     [285.9564331]   [469877.85906942]   [470163.81550252]   [313251.90604628]
[3.]     [277.84044421]   [295161.13041827]   [295438.97086248]   [196774.08694551]
[4.]     [267.84123433]   [120754.49312403]   [121022.33435836]   [80502.99541602]
[5.]     [256.32970334]   [26880.92134711]   [27137.25105045]   [17920.6142314]
[6.]     [243.70415064]   [65.13894698]   [308.84309762]   [43.42596465]
[7.]     [230.41229718]   [78.40564468]   [308.81794185]   [52.27042978]
[8.]     [216.9420754]   [91.8499081]   [308.7919835]   [61.23327207]
[9.]     [203.7880516]   [104.97753006]   [308.76558166]   [69.98502004]
[10.]     [191.43480652]   [117.29948426]   [308.73429078]   [78.19965617]
[11.]     [180.40480012]   [128.28080703]   [308.68560715]   [85.52053802]
[12.]     [171.40768758]   [137.18965452]   [308.5973421]   [91.45976968]
[13.]     [165.58417693]   [142.86398766]   [308.44816459]   [95.24265844]
[14.]     [164.6061615]   [143.67636041]   [308.28252191]   [95.78424027]
[15.]     [169.63721189]   [138.69732865]   [308.33454054]   [92.46488577]
[16.]     [177.97801688]   [130.8310182]   [308.80903508]   [87.2206788]
[17.]     [181.45933208]   [127.72188632]   [309.18121841]   [85.14792421]
[18.]     [174.33409986]   [134.57343035]   [308.90753021]   [89.71562023]
[19.]     [160.36861294]   [148.11460533]   [308.48321827]   [98.74307022]
[20.]     [146.60819151]   [161.72203363]   [308.33022514]   [107.81468909]
[21.]     [136.75179426]   [171.60199245]   [308.35378671]   [114.4013283]
[22.]     [131.52021197]   [176.88884845]   [308.40906042]   [117.92589896]
[23.]     [130.56226206]   [177.93161484]   [308.49387691]   [118.62107656]
[24.]     [132.76952705]   [175.85112926]   [308.62065631]   [117.23408617]
[25.]     [136.27106685]   [172.4770503]   [308.74811715]   [114.9847002]
[26.]     [139.05969624]   [169.77535541]   [308.83505165]   [113.18357027]
[27.]     [139.64341115]   [169.23027554]   [308.87368669]   [112.82018369]
[28.]     [137.30956965]   [171.53567204]   [308.84524169]   [114.35711469]
[29.]     [132.42836965]   [176.32303442]   [308.75140407]   [117.54868961]
[30.]     [126.27633412]   [182.42731439]   [308.70364851]   [121.61820959]
[31.]     [119.64113616]   [189.06464642]   [308.70578257]   [126.04309761]
[32.]     [112.83784913]   [195.82145025]   [308.65929938]   [130.5476335]
[33.]     [106.78477975]   [201.83816986]   [308.62294961]   [134.55877991]
[34.]     [102.37232955]   [206.22907944]   [308.60140899]   [137.48605296]
[35.]     [100.11062716]   [208.50205518]   [308.61268234]   [139.00137012]
[36.]     [99.86624644]   [208.79551979]   [308.66176623]   [139.19701319]
[37.]     [100.80692597]   [207.91812958]   [308.72505555]   [138.61208639]
[38.]     [101.79496683]   [26866.41696045]   [26968.21192728]   [17910.9446403]
[39.]     [101.88586624]   [40143.08114621]   [40244.96701246]   [26762.05409748]
[40.]     [100.72240438]   [40032.02991162]   [40132.75231601]   [26688.01994108]
[41.]     [99.06439267]   [66594.8606784]   [66693.92507107]   [44396.5737856]
[42.]     [97.9413687]   [93201.34890591]   [93299.29027461]   [62134.23260394]
[43.]     [97.06141194]   [119829.49399042]   [119926.55540236]   [79886.32932695]
[44.]     [95.25674572]   [146355.23161995]   [146450.48836567]   [97570.1544133]
[45.]     [93.12788568]   [146263.8776493]   [146357.00553498]   [97509.2517662]
[46.]     [91.61028233]   [93242.86395735]   [93334.47423969]   [62161.9093049]
[47.]     [91.02112841]   [80000.58874993]   [80091.60987835]   [53333.72583329]
[48.]     [92.46826715]   [159699.597623]   [159792.06589015]   [106466.39841534]
[49.]     [97.18526199]   [133207.84912796]   [133305.03438994]   [88805.23275197]
[50.]     [104.68134179]   [26846.01101416]   [26950.69235595]   [17897.3406761]
[51.]     [113.40371349]   [13574.69612747]   [13688.09984096]   [9049.79741832]
[52.]     [121.42821568]   [40256.723981]   [40378.15219669]   [26837.81598734]
[53.]     [126.95661132]   [26884.15756785]   [27011.11417917]   [17922.7717119]
[54.]     [128.7697754]   [53600.62091157]   [53729.39068697]   [35733.74727438]
[55.]     [127.04895061]   [93679.8439004]   [93806.89285101]   [62453.22926693]
[56.]     [124.42622953]   [40277.85630013]   [40402.28252966]   [26851.90420008]
[57.]     [122.94822513]   [26847.67164266]   [26970.61986779]   [17898.44776178]
[58.]     [123.722017]   [53561.7618139]   [53685.4838309]   [35707.84120927]
[59.]     [124.93015707]   [53639.48936433]   [53764.4195214]   [35759.65957622]
[60.]     [124.95325142]   [67025.20526071]   [67150.15851213]   [44683.47017381]
[61.]     [126.72966393]   [67065.6363279]   [67192.36599182]   [44710.4242186]
[62.]     [130.71646653]   [40315.27929129]   [40445.99575782]   [26876.85286086]
[63.]     [133.28355537]   [26911.39227612]   [27044.67583149]   [17940.92818408]
[64.]     [133.34742276]   [26990.71732676]   [27124.06474952]   [17993.81155117]
[65.]     [133.42881012]   [13581.79042847]   [13715.21923859]   [9054.52695231]
[66.]     [134.91609915]   [13591.59561516]   [13726.51171431]   [9061.06374344]
[67.]     [137.60855291]   [40265.43841483]   [40403.04696773]   [26843.62560988]
[68.]     [140.64965303]   [40155.24369972]   [40295.89335275]   [26770.16246648]
[69.]     [143.24288677]   [13491.59092424]   [13634.83381101]   [8994.3939495]
[70.]     [143.8804757]   [13490.80785614]   [13634.68833185]   [8993.87190409]
[71.]     [143.13420252]   [13478.92406781]   [13622.05827033]   [8985.94937854]
[72.]     [142.56167569]   [165.89152348]   [308.45319917]   [110.59434898]
[73.]     [142.19189138]   [13446.16321262]   [13588.355104]   [8964.10880841]
[74.]     [142.40446148]   [53471.24736536]   [53613.65182684]   [35647.49824357]
[75.]     [144.08048505]   [53512.18695604]   [53656.26744109]   [35674.79130402]
[76.]     [145.32682089]   [53545.29134636]   [53690.61816725]   [35696.86089758]
[77.]     [144.89900731]   [53567.91495877]   [53712.81396607]   [35711.94330584]
[78.]     [144.8320471]   [66905.96213881]   [67050.79418591]   [44603.9747592]
[79.]     [145.12632516]   [53634.45514717]   [53779.58147234]   [35756.30343145]
[80.]     [145.52387856]   [13517.88236055]   [13663.40623911]   [9011.9215737]
[81.]     [145.92937045]   [26888.63977723]   [27034.56914768]   [17925.75985149]
[82.]     [146.44721974]   [26729.63412955]   [26876.08134929]   [17819.75608637]
[83.]     [145.32427986]   [40035.60864682]   [40180.93292668]   [26690.40576455]
[84.]     [142.63578015]   [53489.6640567]   [53632.29983686]   [35659.7760378]
[85.]     [140.83369033]   [66844.63107084]   [66985.46476117]   [44563.08738056]
[86.]     [141.13238515]   [66986.62712766]   [67127.7595128]   [44657.75141844]
[87.]     [143.38490932]   [26904.06265512]   [27047.44756444]   [17936.04177008]
[88.]     [146.35133766]   [40298.52504655]   [40444.87638421]   [26865.68336437]
[89.]     [147.84498502]   [66896.42888207]   [67044.27386709]   [44597.61925471]
[90.]     [147.00162992]   [26719.05403509]   [26866.05566501]   [17812.70269006]
[91.]     [144.70333629]   [26970.51772546]   [27115.22106175]   [17980.34515031]
[92.]     [142.021697]   [53466.08852466]   [53608.11022166]   [35644.05901644]
[93.]     [140.36278578]   [26632.71151145]   [26773.07429724]   [17755.14100763]
[94.]     [139.84502848]   [168.6759941]   [308.52102258]   [112.45066273]
[95.]     [139.78564587]   [53538.36656637]   [53678.15221224]   [35692.24437758]
[96.]     [139.14622978]   [66918.18227776]   [67057.32850755]   [44612.12151851]
